,ID,gr_engine_active,sm_active,sm_occupancy,tensor_activity,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,mem_copy_utilization,mem_util_samples,gpu_util_samples,power_usage,total_energy_consumption,pstate,gpu_temp,memory_temp,sm_clock,run_time,application,sm_app_clock
35,0.0,0.9992627,0.95357186,0.17998694,0.0,0.00076632807,0.0,0.18190277,0.0,6435792.6095791,4163535.145137881,97.428154,0.0,0.0,97.25544,116.824295,1126.175724238026,0.0,30.307692,44.00145,885.0,9.646666666666668,tpacf,885
36,0.0,0.9971761,0.9454091,0.17881107,0.0,0.0007698864,0.0,0.18096165,0.0,6608124.512784091,3781676.321022727,97.88494,0.0,0.0,97.72159,115.760544,1133.0768423295456,0.0,30.242897,43.643467,870.0,9.75,tpacf,870
37,0.0,1.0,0.9493394,0.179331,0.0,0.00076536316,0.0,0.1816201,0.0,6453271.2108938545,3587543.910614525,97.73743,0.0,0.0,97.55586,115.330444,1151.375216480447,0.0,30.243017,43.963688,855.0,9.986666666666666,tpacf,855
38,0.0,0.9968827,0.94880027,0.17843156,0.0,0.00092178775,0.0,0.18036453,0.0,7154149.888268156,11353135.710893854,97.568436,0.0,0.0,97.50838,113.86303,1143.4176075418993,0.0,30.156425,43.61592,840.0,10.013333333333334,tpacf,840
39,0.0,0.9989946,0.952203,0.17973748,0.0,0.0009228688,0.0,0.18180108,0.0,7387554.623815968,11012266.95805142,97.80108,0.0,0.0,97.656296,113.58166,1157.0966738836264,0.0,30.14885,43.68606,825.0,10.166666666666666,tpacf,825
40,0.0,0.99882066,0.949659,0.17896467,0.0,0.0009252718,0.0,0.18128397,0.0,7952562.688858695,18111043.830163043,97.540764,0.0,0.0,97.391304,113.15934,1170.5614347826086,0.0,30.153532,44.0,810.0,10.293333333333331,tpacf,810
41,0.0,0.998759,0.9472583,0.17899334,0.0,0.0010079894,0.0,0.18076299,0.0,7455546.086551265,13003411.926764315,97.766975,0.0,0.0,97.65379,112.12806,1183.3319454061252,0.0,30.043941,43.716377,795.0,10.463333333333331,tpacf,795
42,0.0,0.99872893,0.9496978,0.17850195,0.0,0.0007509728,0.0,0.18071724,0.0,6220732.311284047,3521070.511024643,97.846954,0.0,0.0,97.640724,111.478714,1196.6235914396887,0.0,29.988327,44.0,780.0,10.643333333333333,tpacf,780
43,0.0,0.996921,0.94542545,0.1781707,0.0,0.0009057325,0.0,0.18045606,0.0,6840625.593630574,9440146.16178344,97.86624,0.0,0.0,97.690445,110.976234,1204.7598127388535,0.0,29.913376,43.828026,765.0,10.736666666666666,tpacf,765
44,0.0,0.9994037,0.95266914,0.17937902,0.0,0.0009160494,0.0,0.18202469,0.0,6886755.644444444,9888475.249382716,97.919754,0.0,0.0,97.69877,110.3637,1214.1274518518517,0.0,29.80247,43.830864,750.0,10.893333333333333,tpacf,750
45,0.0,0.9987639,0.9501409,0.18058962,0.0,0.000723115,0.0,0.18240544,0.0,5902104.132262052,3244346.245982695,97.95426,0.0,0.0,97.78245,109.31624,1231.2232657601978,0.0,29.580965,43.666256,735.0,11.133333333333333,tpacf,735
46,0.0,0.9976532,0.9501912,0.17919002,0.0,0.0008266034,0.0,0.18143111,0.0,6760142.275534442,8316495.286223277,98.00237,0.0,0.0,97.85511,108.60203,1241.2297565320664,0.0,29.516626,43.73278,720.0,11.263333333333334,tpacf,720
47,0.0,0.99882907,0.9525,0.17960538,0.0,0.00071779866,0.0,0.18224473,0.0,5803769.940281031,3189273.4672131147,97.88993,0.0,0.0,97.75527,108.32623,1259.7738360655737,0.0,29.522247,43.96487,705.0,11.48,tpacf,705
48,0.0,1.0,0.9537288,0.17936158,0.0,0.0007016949,0.0,0.18229604,0.0,5930745.012429379,3270270.327683616,97.95028,0.0,0.0,97.79774,107.4728,1273.1499389830508,0.0,29.496046,43.636158,690.0,11.616666666666667,tpacf,690
49,0.0,0.9987449,0.9539671,0.18057029,0.0,0.00079931977,0.0,0.18253288,0.0,6029781.835600907,4658348.646258503,98.106575,0.0,0.0,97.818596,106.16154,1276.4175396825397,0.0,29.312925,43.6678,675.0,11.846666666666666,tpacf,675
50,0.0,0.9979096,0.94872546,0.17844988,0.0,0.0008921569,0.0,0.18090631,0.0,6399596.382352941,7475650.352941177,97.93682,0.0,0.0,97.74837,105.4003,1297.4988126361654,0.0,28.660131,43.17865,660.0,12.066666666666668,tpacf,660
51,0.0,0.99939746,0.94938576,0.17972901,0.0,0.0010031882,0.0,0.18225293,0.0,6779365.845908608,10057464.487778958,98.17747,0.0,0.0,98.06589,104.871735,1308.392219978746,0.0,29.179596,43.628056,645.0,12.266666666666666,tpacf,645
